pl_name,hostname,ra,dec
TOI-3071 b,TOI-3071,173.2790517,-56.5033871
TOI-1669 b,TOI-1669,45.9564744,83.5874273
HAT-P-64 b,HAT-P-64,68.9743955,2.4312732
TOI-1691 b,TOI-1691,272.4041179,86.860343
HR 8799 b,HR 8799,346.8701486,21.1340376
TOI-3321 b,TOI-3321,265.7603351,-65.0082516
NGTS-8 b,NGTS-8,328.9759206,-14.0684399
TOI-1669 c,TOI-1669,45.9564744,83.5874273
TOI-4201 b,TOI-4201,90.4747237,-13.461371
TOI-2977 b,TOI-2977,143.9265177,-60.3574758
NGTS-10 b,NGTS-10,91.8722801,-25.5948963
TOI-1836 c,TOI-1836,245.9079242,54.6900774
TOI-4791 b,TOI-4791,109.3883818,-19.8289392
TOI-1408 b,TOI-1408,313.5110469,72.5806455
NGTS-2 b,NGTS-2,215.1227617,-31.2020698
TOI-5616 b,TOI-5616,184.9016378,48.6832895
TOI-5232 b,TOI-5232,294.3374248,35.2764934
TOI-1836 b,TOI-1836,245.9079242,54.6900774
TOI-3629 b,TOI-3629,359.7933851,39.3142556
NGTS-21 b,NGTS-21,311.2583112,-35.4278412
NGTS-12 b,NGTS-12,176.2499418,-35.640563
TrES-5 b,TrES-5,305.2219454,59.4489033
TOI-1408 c,TOI-1408,313.5110469,72.5806455
TOI-5205 b,TOI-5205,313.7706819,24.360977
TOI-3807 b,TOI-3807,139.1125648,69.0741284
TOI-2842 b,TOI-2842,108.0442066,-10.63934
TOI-1736 b,TOI-1736,43.4344615,69.101345
TOI-1516 b,TOI-1516,340.0846204,69.5037313
TOI-1859 b,TOI-1859,279.8317644,69.5228726
XO-6 b,XO-6,94.7929552,73.8275672
NGTS-9 b,NGTS-9,141.9206435,-19.3476477
NGTS-16 b,NGTS-16,58.2639299,-30.8046405
TOI-4145 A b,TOI-4145 A,39.4297435,80.2673838
NGTS-23 b,NGTS-23,70.4322947,-40.0445299
NGTS-13 b,NGTS-13,176.2402326,-38.1397158
TOI-3082 b,TOI-3082,195.9080719,-19.2189845
TOI-2096 b,TOI-2096,151.6186989,74.8272107
NGTS-18 b,NGTS-18,180.5462193,-35.5486091
TOI-4463 A b,TOI-4463 A,279.3581286,18.7299522
HD 213885 c,HD 213885,338.9837166,-59.864829
TOI-1736 c,TOI-1736,43.4344615,69.101345
TOI-2796 b,TOI-2796,84.1527191,0.8962788
WASP-124 b,WASP-124,332.7143373,-30.7497189
WASP-25 b,WASP-25,195.3597581,-27.5222273
TOI-5293 A b,TOI-5293 A,355.828682,-2.0450945
NGTS-5 b,NGTS-5,221.0582692,5.6053735
TOI-5301 b,TOI-5301,12.9908008,13.0783712
TOI-3984 A b,TOI-3984 A,226.3371468,36.7869747
TOI-3023 b,TOI-3023,165.3158231,-72.3567044
KELT-12 b,KELT-12,267.6404906,36.5701761
Qatar-9 b,Qatar-9,160.748095,60.9641194
WASP-13 b,WASP-13,140.1029654,33.8823291
55 Cnc d,55 Cnc,133.1468373,28.3298154
eps CrB b,eps CrB,239.3965057,26.8776171
Teegarden's Star b,Teegarden's Star,43.2691449,16.8649024
Teegarden's Star c,Teegarden's Star,43.2691449,16.8649024
TOI-1273 b,TOI-1273,214.1208564,58.3902534
TOI-5803 b,TOI-5803,327.2487497,6.2781777
55 Cnc b,55 Cnc,133.1468373,28.3298154
55 Cnc c,55 Cnc,133.1468373,28.3298154
WASP-58 b,WASP-58,274.7012534,45.1722194
TOI-5174 b,TOI-5174,174.1094967,-2.0233506
TOI-2084 b,TOI-2084,259.2545389,72.7470231
TOI-2524 b,TOI-2524,160.8868435,-1.9126984
TOI-4308 b,TOI-4308,327.7530693,-43.5623642
TOI-4377 b,TOI-4377,164.9324709,-82.2213501
TOI-1853 b,TOI-1853,211.4593468,16.9923703
HATS-35 b,HATS-35,296.688442,-63.5656488
UCAC3 113-933 b,UCAC3 113-933,5.2758121,-33.8031679
UCAC4 328-061594 b,UCAC4 328-061594,152.6991091,-24.4532674
GJ 900 b,GJ 900 A,353.7526177,1.6055211
TOI-150.01,TOI-150,112.965421,-73.6060358
HD 213885 b,HD 213885,338.9837166,-59.864829
Wolf 327 b,Wolf 327,148.3783199,35.570548
HAT-P-18 b,HAT-P-18,256.346376,33.0123251
TOI-1062 b,TOI-1062,38.1209678,-78.0236828
TOI-431 b,TOI-431,83.2692502,-26.7238698
TOI-2260 b,TOI-2260,247.6669998,49.0467891
WASP-71 b,WASP-71,29.2634506,0.7588247
WASP-84 b,WASP-84,131.1069959,1.8598933
HD 39091 b,HD 39091,84.2992798,-80.4646041
55 Cnc f,55 Cnc,133.1468373,28.3298154
LHS 1140 b,LHS 1140,11.248632,-15.2741085
TOI-1798.02,TOI-1798,211.0939367,46.5192825
TOI-1410.01,TOI-1410,334.8828486,42.5603141
TOI-1410 c,TOI-1410,334.8828486,42.5603141
HD 25463 b,HD 25463,60.7483361,9.2077676
